date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:23:44	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22581afe74-2876e%22	http://citybook.kwst.net/fonts/fontawesome-webfont.eot?	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/fonts/fontawesome-webfontd41d.eot	(from http://citybook.kwst.net/css/plugins.css)
13:23:45	2616/2616	---M--	200	added ('OK')	application/octet-stream	etag:%225695b55c-a38%22	http://citybook.kwst.net/fonts/lg.ttf?n1z373	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/fonts/lgd641.ttf	(from http://citybook.kwst.net/css/plugins.css)
13:23:45	4094/4094	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225695b55c-ffe%22	http://citybook.kwst.net/fonts/lg.svg?n1z373	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/fonts/lgd641.svg	(from http://citybook.kwst.net/css/plugins.css)
13:23:45	1613/1613	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202024%2007:53:47%20GMT	http://citybook.kwst.net/img/vimeo-play.png	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/img/vimeo-play.png	(from http://citybook.kwst.net/css/plugins.css)
13:23:46	1613/1613	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202024%2007:53:47%20GMT	http://citybook.kwst.net/img/video-play.png	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/img/video-play.png	(from http://citybook.kwst.net/css/plugins.css)
13:23:46	1613/1613	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202024%2007:53:48%20GMT	http://citybook.kwst.net/img/youtube-play.png	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/img/youtube-play.png	(from http://citybook.kwst.net/css/plugins.css)
13:23:46	1613/1613	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202024%2007:53:48%20GMT	http://citybook.kwst.net/images/loading.gif	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/loading.gif	(from http://citybook.kwst.net/css/plugins.css)
13:23:47	2276/2276	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258c0978c-8e4%22	http://citybook.kwst.net/fonts/datedropper.eot	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/fonts/datedropper.eot	(from http://citybook.kwst.net/css/plugins.css)
13:23:47	1613/1613	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202024%2007:53:49%20GMT	http://citybook.kwst.net/css/src/datedropper.eot?	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/css/src/datedropperd41d.eot	(from http://citybook.kwst.net/css/plugins.css)
13:23:48	1544/1544	---M--	200	added ('OK')	font/woff	etag:%2258c0978c-608%22	http://citybook.kwst.net/fonts/datedropper.woff	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/fonts/datedropper.woff	(from http://citybook.kwst.net/css/plugins.css)
13:23:48	2096/2096	---M--	200	added ('OK')	application/octet-stream	etag:%2258c0978c-830%22	http://citybook.kwst.net/fonts/datedropper.ttf	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/fonts/datedropper.ttf	(from http://citybook.kwst.net/css/plugins.css)
13:23:48	2273/2273	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2258c0978c-8e1%22	http://citybook.kwst.net/fonts/datedropper.svg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/fonts/datedropper.svg	(from http://citybook.kwst.net/css/plugins.css)
13:23:49	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%22581afe74-286ac%22	http://citybook.kwst.net/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/fonts/fontawesome-webfont3e6e.ttf	(from http://citybook.kwst.net/css/plugins.css)
13:23:50	2755/2755	---M--	200	added ('OK')	image/png	etag:%225a63428c-ac3%22	http://citybook.kwst.net/images/clouds.png	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/clouds.png	(from http://citybook.kwst.net/css/style.css)
13:23:55	45775/45775	---M--	200	added ('OK')	image/png	etag:%225a4e02cc-b2cf%22	http://citybook.kwst.net/images/bg/shapes-big.png	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/bg/shapes-big.png	(from http://citybook.kwst.net/css/style.css)
13:23:57	24182/24182	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b3ddbe3-5e76%22	http://citybook.kwst.net/js/map_infobox.js	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/js/map_infobox.js	(from http://citybook.kwst.net/listing.html)
13:23:59	16168/16168	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b3ddbe7-3f28%22	http://citybook.kwst.net/js/markerclusterer.js	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/js/markerclusterer.js	(from http://citybook.kwst.net/listing.html)
13:23:59	73676/73676	---M--	200	added ('OK')	image/png	etag:%225a4e02e4-11fcc%22	http://citybook.kwst.net/images/bg/shapes-small.png	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/bg/shapes-small.png	(from http://citybook.kwst.net/css/style.css)
13:24:00	12653/12653	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c5ab0f0-316d%22	http://citybook.kwst.net/js/maps.js	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/js/maps.js	(from http://citybook.kwst.net/listing.html)
13:24:00	31495/31495	---MCZ	200	added ('OK')	text/html	etag:W/%226443baff-7b07%22	http://citybook.kwst.net/dashboard-bookings.html	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/dashboard-bookings.html	(from http://citybook.kwst.net/dashboard-add-listing.html)
13:24:01	27868/27868	---MCZ	200	added ('OK')	text/html	etag:W/%226443baff-6cdc%22	http://citybook.kwst.net/dashboard-review.html	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/dashboard-review.html	(from http://citybook.kwst.net/dashboard-add-listing.html)
13:24:01	30429/30429	---MCZ	200	added ('OK')	text/html	etag:W/%226443baff-76dd%22	http://citybook.kwst.net/dashboard.html	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/dashboard.html	(from http://citybook.kwst.net/dashboard-add-listing.html)
13:24:01	28620/28620	---MCZ	200	added ('OK')	text/html	etag:W/%226443baff-6fcc%22	http://citybook.kwst.net/dashboard-messages.html	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/dashboard-messages.html	(from http://citybook.kwst.net/dashboard-add-listing.html)
13:24:02	22807/22807	---MCZ	200	added ('OK')	text/html	etag:W/%226443baff-5917%22	http://citybook.kwst.net/dashboard-password.html	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/dashboard-password.html	(from http://citybook.kwst.net/dashboard-add-listing.html)
13:24:02	29206/29206	---MCZ	200	added ('OK')	text/html	etag:W/%226443baff-7216%22	http://citybook.kwst.net/dashboard-listing-table.html	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/dashboard-listing-table.html	(from http://citybook.kwst.net/dashboard-add-listing.html)
13:24:02	2724/2724	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c192f73-aa4%22	http://citybook.kwst.net/js/map-add.js	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/js/map-add.js	(from http://citybook.kwst.net/dashboard-add-listing.html)
13:24:06	113018/113018	---M--	200	added ('OK')	image/jpeg	etag:%225a6a0caa-1b97a%22	http://citybook.kwst.net/images/all/8.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/all/8.jpg	(from http://citybook.kwst.net/listing.html)
13:24:17	179584/179584	---M--	200	added ('OK')	image/jpeg	etag:%225a54e838-2bd80%22	http://citybook.kwst.net/images/all/23.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/all/23.jpg	(from http://citybook.kwst.net/listing.html)
13:24:56	305087/305087	---M--	200	added ('OK')	image/jpeg	etag:%225a7467ee-4a7bf%22	http://citybook.kwst.net/images/bg/6.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/bg/6.jpg	(from http://citybook.kwst.net/index4.html)
13:25:01	264797/264797	---M--	200	added ('OK')	image/jpeg	etag:%225a74692a-40a5d%22	http://citybook.kwst.net/images/bg/16.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/bg/16.jpg	(from http://citybook.kwst.net/index4.html)
13:25:08	414817/414817	---M--	200	added ('OK')	image/jpeg	etag:%225a6724ca-65461%22	http://citybook.kwst.net/images/bg/29.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/bg/29.jpg	(from http://citybook.kwst.net/index2.html)
13:26:02	326126/326126	---M--	200	added ('OK')	image/jpeg	etag:%225a746a48-4f9ee%22	http://citybook.kwst.net/images/bg/slider/17.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/bg/slider/17.jpg	(from http://citybook.kwst.net/index5.html)
13:26:02	403739/403739	---M--	200	added ('OK')	image/jpeg	etag:%225a74694a-6291b%22	http://citybook.kwst.net/images/bg/24.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/bg/24.jpg	(from http://citybook.kwst.net/index4.html)
13:26:02	381037/381037	---M--	200	added ('OK')	image/jpeg	etag:%225a40f444-5d06d%22	http://citybook.kwst.net/images/bg/12.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/bg/12.jpg	(from http://citybook.kwst.net/index5.html)
13:26:26	148096/148096	---M--	200	added ('OK')	image/jpeg	etag:%225a746a36-24280%22	http://citybook.kwst.net/images/bg/slider/30.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/bg/slider/30.jpg	(from http://citybook.kwst.net/index5.html)
13:27:00	353927/353927	---M--	200	added ('OK')	image/jpeg	etag:%225a746a30-56687%22	http://citybook.kwst.net/images/bg/slider/14.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/bg/slider/14.jpg	(from http://citybook.kwst.net/index5.html)
13:27:01	355199/355199	---M--	200	added ('OK')	image/jpeg	etag:%225a746a3c-56b7f%22	http://citybook.kwst.net/images/bg/slider/25.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/bg/slider/25.jpg	(from http://citybook.kwst.net/index5.html)
13:27:16	88372/88372	---M--	200	added ('OK')	image/jpeg	etag:%225a746fc0-15934%22	http://citybook.kwst.net/images/all/single/9.jpg	C:/Users/mursh/Downloads/NEW2/citybook.kwst.net/images/all/single/9.jpg	(from http://citybook.kwst.net/listing-single.html)
